Substrate	List_of_negative
leu	-313.1515726471902,-298.4197713573518,-293.2048355997428,-289.8633574527823,-289.8633574527823,-289.8633574527823,-285.0505479020159,-283.64874935436006,-282.4760290935382,-281.16384270457206,-277.6572848072521,-277.25181969914394,-276.40452183875675,-275.47730203635035,-274.87512663399616,-273.36577218011905,-272.33991924573337,-271.85586386303197,-265.8760953556872,-261.6192318639673,-260.99062320454493,-260.70294113209314,-256.973239683459,-256.36347411183806,-255.9154493893111,-255.86138216804082,-252.94788799272382,-250.51177150710524,-250.4511468852888,-245.0682721307127,-239.563160350852,-238.08255531026086,-237.87961446626417,-235.80528802525112,-234.68135792859871,-233.52867841866032,-226.13137491435947,-210.4515341943323,-205.72858097268784,-205.6850958607481,-202.62748818347603,-202.62748818347603,-198.9139161167717,-189.42816376493556,-189.42816376493556,-178.16655272824624,-177.9339304329775,-166.3839636963269,-164.37513972186102
pro	-360.476240182884,-310.58662328972866,-308.57686166868683,-306.5051821323425,-302.14947280598597,-296.1171862643577,-295.27561907867954,-289.655718088004,-284.60426079938753,-283.1226562584633,-277.58317683509836,-276.80450748110025,-275.9047460511773,-273.82530450949747,-273.2191687059272,-273.1321573289375,-269.56497480980113,-269.06598364368216,-268.81466921540124,-268.52698714294945,-266.91754923051536,-265.76486972057694,-264.9957366330391,-264.53492142984777,-259.23660406329975,-255.888050415123,-249.3925399312344,-242.00715709789586,-231.28016054693654,-210.24859335033563,-203.22532518423165,-195.3142677963857,-195.3142677963857,-189.19764010632372,-185.07430800722838,-185.00531513574143,-179.33927298906806,-174.12099833019357,-174.12099833019357,-170.20897532476542,-167.17242105669118,-152.2582982100588,-150.5120011149075,-147.6398827973207,-145.1354315514597,-140.7724014174765
ala	-349.20447677473067,-338.89552411408636,-321.4456222872922,-318.09923314212506,-310.37898392495043,-308.0763988319564,-307.9045485750297,-306.91716192147186,-301.6794691767402,-300.1345697854437,-299.153740532432,-296.62801188812375,-295.9020748847408,-293.59948979174675,-292.87459391287223,-289.8633574527823,-286.79351720707456,-281.9096336186174,-278.6127962522795,-276.36150445367304,-271.4426767088299,-267.456545731248,-196.5407134565637,-194.7264811314836,-184.9618300238017,-184.9618300238017,-176.65719827436914,-176.65719827436914,-175.49076338936226,-170.86933268250237,-167.6187081593196,-166.31375943765366,-166.31375943765366,-166.31375943765366,-165.38066158746312,-164.997669335207,-163.30122004578328,-158.00290267923526,-157.41975639388963,-157.0866119473611,-156.87689141637904,-143.96424856995677,-143.2545720874456,-142.35481065752268,-139.02260614734746,-138.0597953998384,-135.15937330608875
val	-262.02469697207545,-261.3960883126531,-261.3960883126531,-261.3960883126531,-254.30601147687702,-254.30601147687702,-250.88646495654666,-248.67919004335693,-246.6379697144973,-246.55095833750767,-244.55205565831184,-241.5090704999073,-240.36044779066452,-239.13237743475955,-238.88106300647863,-238.18791582591868,-236.76079947027853,-231.91924050622623,-231.77263703203434,-231.60558294737118,-230.32038470312267,-230.32038470312267,-230.16319911960025,-229.92203706278335,-227.99674620093077,-227.00041276138307,-226.0538166800136,-225.69416110793674,-223.40204731480998,-223.40204731480998,-223.2554438406181,-221.06837163474592,-220.406315041256,-219.23988015624911,-213.14716187543596,-212.97726283864057,-212.97726283864057,-211.65550699865824,-209.65177727871412,-209.43993328265384,-208.89338957628576,-208.618952730584,-208.0091871589631,-202.94219892831572,-197.32917081692798,-191.27708164800356,-190.28165359557067,-170.4966573972172,-153.4847438702368,-144.96755067882054,-144.88053930183094,-134.62874505502657,-134.30495797793267,-133.54993539365464,-131.86353644008443
iva	-419.15386853385536,-278.5174860724752,-245.5881475899986,-242.2822603881408,-241.5090704999073,-238.4392302541996,-234.4582143772845,-233.02312985199518,-227.95592420641051,-226.8573119177424,-224.96019193285653,-220.78580466296089,-220.2152598044933,-220.0549171544181,-218.48321956996685,-217.68087309744192,-217.5218084028122,-215.85521207653818,-214.85376353632373,-213.2241229165721,-211.43236344734404,-210.92153782357803,-204.93007327647007,-201.71119745160186,-197.83999644069397,-197.5523143682422,-195.38326066787266,-191.98206328621052,-191.78790727176957,-191.44306678547784,-150.68968229214494,-132.80799804892527,-130.9108780640394,-125.94903293411257,-125.94903293411257,-125.47902930486683,-125.47902930486683,-114.06454391270985,-112.3566659274625,-103.35396492026456,-103.35396492026456,-103.35396492026456,-100.57180674700864,-99.19748857693546,-98.91584881893964,-98.74879473427647,-98.26922165401459,-98.05564755371653,-95.96663656102054,-93.4127370397456,-84.40719108041542,-76.71927724388371,-74.05378665720029,-70.54722875988031,-66.51260343235984,-64.47238260383328,-63.88459593893116
phe	-280.6530170808061,-275.43474242193156,-275.43474242193156,-275.43474242193156,-272.3589674407041,-266.56924253624715,-260.6541509679237,-259.162496091146,-258.7811285346169,-258.1639672610349,-252.36806949747088,-252.12120941953935,-252.0605847977229,-245.09567110490082,-244.85054864686785,-244.4895353013305,-243.8916983005749,-240.3851404032549,-235.24934196620464,-232.56109439239862,-231.6856256550447,-231.64480366052445,-231.30833142390324,-230.46923033072022,-230.16319911960025,-228.8475223256943,-226.92630478922936,-226.40836169769452,-222.8807503911767,-221.72151348069215,-221.06837163474592,-220.78580466296089,-214.73825064920186,-214.0451034686419,-213.80394141182504,-213.26494491109236,-210.67467774564653,-209.53524346245817,-200.22959291067764,-198.22076893621175,-196.85916718768226,-194.43879905903182,-193.64029136281405,-192.67521046677047,-190.32610535814152,-189.25826472814018,-185.05077750981818,-185.05077750981818,-182.87180637279133,-182.87180637279133,-180.56922127979726,-180.3566598378136,-173.47041076405242,-156.48047614379078,-155.74287720066,-139.12268960590444,-137.32219645670764
aad	-270.4241071278353,-270.4241071278353,-269.55327877003793,-194.9777955597645,-185.25662956402232,-185.17439146578536,-123.0868320531831,-121.70053769206321,-119.04127765513043,-113.90547921808017,-109.08899993842488,-106.71742197394387,-106.31939184432322,-105.9189142777261,-104.37135176901009,-104.28967373799583,-100.90827898362984,-100.52528673137374,-99.31226409152788,-98.91584881893964,-97.65018244560837,-93.81820214785375,-93.01969445163598,-92.87993250926083,-92.87993250926083,-91.11015194675154,-90.20129619336491,-90.15749357070652,-89.27019037570561,-88.54805565827242,-88.54805565827242,-88.27476232327274,-88.27476232327274,-88.27476232327274,-88.27476232327274,-87.53905552829399,-87.23586926930625,-87.16176129715252,-86.01662899284952,-85.95067102505773,-84.45371109605031,-80.97614073560358,-79.36670282316949,-78.86771165705049,-78.81552590387993,-76.74033065308154,-76.35637175019434,-76.28641316158743,-75.24337072407413,-74.0112270427815,-73.91844530933054,-72.45894754418735,-72.4299600073141,-71.87443420463019,-71.43143117720297,-63.40767186684085,-55.59054629882913,-52.42882888780088
cys	-270.5736388618063,-267.56190624690583,-267.56190624690583,-236.2907958410328,-219.79540595893303,-219.71316786069605,-127.0278425954845,-118.08576621010299,-111.51833673705806,-111.51833673705806,-111.51833673705806,-110.77254582301269,-110.5341347995677,-109.69117534077908,-107.63371270581803,-107.5283521901602,-107.15678863372771,-106.96873640222478,-106.26140458667288,-106.19335112342786,-105.99148497056093,-103.9730041286708,-103.4340076279381,-103.21086407662389,-101.67041903567674,-100.84374046249228,-100.32049231872773,-99.90275711802775,-99.66508546615063,-98.42337233384184,-97.94644826175154,-97.70282617909379,-96.770449309468,-95.87566478281481,-95.42764006028786,-94.93362155483824,-94.40598881275588,-94.31067863295155,-91.63340009051609,-91.5156170548597,-91.5156170548597,-90.20129619336491,-89.53845436230029,-88.23220270885393,-87.31591197697978,-86.75629618904436,-83.88731562112952,-83.64808593206368,-82.89306334778564,-76.22103040232457,-74.55022354351418,-65.89949895947342,-65.7102569598349,-64.78709334867298,-63.7304452591039,-59.86721241784519,-54.429133108921995,-52.42882888780088
